2024-07-18T00:00:00.010+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-07-18T00:00:00.038+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 22 ms. Found 0 JPA repository interfaces.
2024-07-18T00:00:00.274+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:124 | sql:SELECT 1
2024-07-18T00:00:00.277+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] c.h.admin.shortlink.task.ShortlinkTask   : 开始统计短链接的pv和uv
2024-07-18T00:00:00.739+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:446 | sql:select slc1_0.id,slc1_0.cloak_id,slc1_0.created_by,slc1_0.created_date,slc1_0.dept_id,slc1_0.group_id,slc1_0.key,slc1_0.last_modified_by,slc1_0.last_modified_date,slc1_0.owner_id,slc1_0.pv,slc1_0.remark,slc1_0.target_url,slc1_0.uv from sl_config slc1_0
2024-07-18T00:00:01.052+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:230 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=388 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:01.308+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:217 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=388 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:03.025+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:1587 | sql:update sl_config slc1_0 set pv=121,uv=99 where slc1_0.id=388
2024-07-18T00:00:03.239+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:210 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=330 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:03.448+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:202 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=330 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:03.603+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:145 | sql:update sl_config slc1_0 set pv=1,uv=1 where slc1_0.id=330
2024-07-18T00:00:03.840+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:228 | sql:select count(cl1_0.id) from c_log cl1_0 where cl1_0.related_id=752 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
2024-07-18T00:00:03.993+08:00  INFO 32706 --- [haishi-admin] [scheduling-1] p6spy                                    : executionTime:149 | sql:select count(distinct cl1_0.ip) from c_log cl1_0 where cl1_0.related_id=752 and cl1_0.scene='SHORT_LINK' and cl1_0.is_crawler=false and cl1_0.status='PERMIT'
